Help!	Kapadle
My mother often suffers from headaches.	yenna ammag yepala thare bene uppundh
Nothing but a miracle can save her now.	dhala athu,nana pavada andane alen badukayere aapundh
Please come again two weeks from today.	nana yepala inithddh rad vara bale
She is living in some village in India.	aal ova onji grama du badukondu ullal
She reminds me very much of her mother.	aalen thunaga alena ammana ninepu aapundu
She said to herself, "I am very happy."	alee aleg panyal,aal masthu  kushit ullal andu
Talking is one thing, doing is another.	paternuna onji,manpuna nanoji
The boy cannot have stolen my umbrella.	aa aan yenna kode nu kandudh uppaye
The gentleman is a very famous pianist.	sambhavitha vyakthi onji malla piano vadhake
The lights have been burning all night.	edi rathre belaku pothondu ithndh
The rumor proved to be an absolute lie.	gaalimathu sapurna sullu pandu sabitha andu
The scar on his cheek hardly shows now.	ayena kenne da mith ithina gaya tojondu ithundh
The two languages have a lot in common.	radd bashedla masth samanyathe undu
The work must be completed by tomorrow.	yelle dha ulai ee belenu mugipavod
They will fall in love with each other.	radd janakulu naduthu  paraspara prethi putundhu
We must try to protect the environment.	nama parisaranu kapadodh
What languages do they speak in Canada?	canada du ovu bashe paterver?
Which is the more expensive of the two?	undu rad yeth oik kass jasthi?
Who doesn't know such a simple proverb?	yereg gothiji eeth sulabada gadhe?
Workers must have their hair cut short.	beledhakul kujal yeliyadu kater pavodh
Would you mind turning down the volume?	yan parimana nu kammi manpe?
You must observe the rules of the club.	ee club dha niyama nu palisodhu
You've got a nerve to say such a thing!	nik dhairya bodu aven pandreg
Your examination results are excellent.	ninna parikshedha phalithamsha atyuthama
All you have to do is follow his advice.	ee dada manpodh panda ayena salahe nu abyasa manpod
Cows are sacred to many people in India.	dhana bharathadha masthu janakleg podiyundh
He entered the room slowly by that door.	aye kone gu aa bakil du mella ullai nughye
He had to go through a lot of hardships.	aye masthu kastha dulai podhu  bathe
He had to reduce the price of his wares.	aye ayena sarakdha bele nu kammi manpun laka andh
He has invited me to attend his wedding.	aye yenna ayena madime gu laidhe
He is always complaining about his boss.	aye yepala ayena dhanitha bage  duur padondu ithe
He was a great poet as well as a doctor.	aye malla kavi anchane vaidyakara la
He was covered in mud from head to foot.	ayen thared karr mutha mannu du muchudhe
He was destined never to meet her again.	aye alen thikere balli andu vidisalgaye
He was happy at the news of her success.	aye kushi aye alna  yashasu  sudhi kendu
How about adding a little bit more salt?	dhadha yennuva onthe chuur uppu padunda?
How did you get tickets for the concert?	nik yencha sangeetha kacheri gu ticket thikund?
How much time do we have to finish this?	namak yeth samaya undu unden mugipayere?
I am confident he will keep his promise.	yenk ayena mith athma vishvasa undu  ,ayena satyanu kapadve andu
I am not sure how to pronounce the word.	yenk sari gotiji undu varthe nu yenvha  uchara manpunu andhu
I cannot stand his arrogance any longer.	yan nanadh ayena duraahankara du unthare sadhya iji
I don't know if I'll have time to do it.	yenk gotujiyenk manpere samaya unda andh
I have been writing letters all morning.	yan dinola kande patra bareyond ithe
I have been writing letters all morning.	yan dinola kande patra bareyond ithe
I have seen angels and talked with them.	yan devathe nu thudu patherye
I was disappointed that you didn't call.	ee call manthija andu yenk nirashe andh
I wish I had more time to talk with you.	yan ashe andu  ninnotugu masthu porthu paterodu pandh
I would rather stay at home than go out.	yan pidai popunedh illade uppuve
I'll expect to hear from you by Tuesday.	yan ninnadu mangalvara dual kenond andu horathu manpe
I'll give you an answer in a day or two.	yan nik onji ijinda rad dina tu uthra korpe
I'm not ashamed of my father being poor.	yenna ammer badave pandreg yenk nachige iji
I've never met her, but I recognize her.	yan alen ithe muta tikiji,andala gurtha thikundh
I've never met him, but I recognize him.	yan ayen ithe muta tikiji,andala gurtha thikundh
It's about time for the train to arrive.	rail bareg porth andh
It's getting dark. You'd better go home.	kathale andu,ee bega illag pola
Keep going straight through the village.	ee sartha povondu uppu grama dulai
Mother and I are different in every way.	amma bokk ayan masthu vishaya du bethe
Nobody could tell what he meant by that.	yereglag panre apuji,aye dada panthin pandh
Science begins when you ask why and how.	ee dhaye boka yencha kenda  vijnana suru  aapundh
She had a daughter by her first husband.	aleg bale modalane kandnidh baidini
She loves watching tennis matches on TV.	aleg tennis pandya tvdu tupunu panda ishta
She may have to quit her job next month.	aal barin thingol bele budpin laka barpudh
Such a thing cannot be found everywhere.	enchanda vashayanu olula tuyere apuji
Take this medicine when you have a cold.	ee matre dethon nik sheetha uppunaga
Tell me what you are looking forward to.	panla ee dada yedur tuvondu ullar  andu
The new bridge was named Rainbow Bridge.	posa sethuve gu rainbow sethuve  andu pudar deyere
The police officer arrested the burglar.	police adikare darodekora nu bandane manther
The room has been empty for a long time.	ee kone masthu dina dinchi kali ade undh
There are no live animals in the museum.	museum du ovla jeevada pranilu iji
There is no satisfying spoiled children.	ovula tripthikaravad chilleda jokulu ijjer
There used to be a big pond around here.	moolu onji malla kola ithund
There's something we need to talk about.	namak onji vishaya undu patereg
They heard a gun go off in the distance.	gun duradh popuna akleg kenndh
Three men broke out of prison yesterday.	muji janakulu kode jail d tappayer
We saw the film and had dinner together.	nama chalanachitra tudu boka onas othige manthu batha
We should try to understand one another.	nikul rad janakulu niklen artha manthonodu
What do you want to do in the afternoon?	nik madhyana dada  manpere undu?
What time does your watch say it is now?	ninna gadiyara yeth porthu tojavondh undu?
What time does your watch say it is now?	ninna gadiyara yeth porthu tojavondh undu?
Would you just move along a bit, please?	dhayamanthudu,onthe anchi popara?
A gentleman would not spit on the street.	sambhavitha rasthe du ubbiyuje
Absence of rain caused the plants to die.	barsha ijande sashyagalu saiyere karana
As a result of the war, many people died.	yudha da parinamadu,masthu janakulu saither
Can you identify the man in this picture?	nik chitra du manushye nu guruth manpoliya?
Did you feel the earthquake this morning?	nik ini kande bookampa da bhanve andaa?
Give up smoking if you want to live long.	nik masthu dhina badhukodu panda ,oipuna budla
Having seen him before, I recognized him.	yan dumbu thutina,andala yenk ayena gurtha thiundh
He could not come because of his illness.	arna anarogra du karana areg bareg ayiji
He defeated his opponent in the election.	aye ayena yedurali nu chunavane du sopaye
He failed to come up to our expectations.	aye namma nirekshe gu barre vifala vadu ulle
He jumped into the water clothes and all.	aye angi padondu neer dulai laigiye
He ordered them to release the prisoners.	aye kaidhi nu budreg panyer
He tried in vain to open the locked door.	beega padina bagilg aye jathadi manpere vyartha vadu parayathna manthe
I always rely on him in times of trouble.	Yan yepala thondare da samayadh ayeg avambe manpuve
I am convinced that he did nothing wrong.	aye dala thappu manthiji pandu manavarike andu
I am looking for a present for my mother.	yan ammag onji udugore tuvondu ulle
I don't feel like studying English today.	yenk ini english odunu laka iji
I don't think that it will rain tomorrow.	yenk yennuji yelebarsa barpundh andu
I have no time to help you with the work.	yenk nik ninna beleg sayaha manpere pursoth iji
I heard someone call my name from behind.	yenk yenna pudar pravd lethin laka ithundh
I watched the game from beginning to end.	yan pandytanu surudh kone mutha tuye
I'll never forget how kind you have been.	yan unden marepuji,e yeth yedde adu yennada  itha andu
I'm going to go buy some materials today.	yan ini podu kelav vasthugalu kanodu andu ulle
I'm very happy to make your acquaintance.	niklena gutrtha ayina masthu kuchi andu
If only I had known the answer yesterday!	yan kode utharanu gothu ithunda matra
If you are hungry, you can eat the bread.	nik bada anda,ee bread nu thinoli
In the woods, she met with two strangers.	Kaad du aal radd aparichitaren thikval
It is up to you whether to buy it or not.	undu ninna mithu,dethonuna bodcha andu
It was hard for me to refuse his request.	yenk mastha banga andu ayena 
It was not easy for us to find his house.	namaku ayena illa nadunu sulaba ath
Japan depends on other countries for oil.	japanese yenne goskara bethe deshanu avalambeke manpundu
My brother would often stay up all night.	yenna megge yepala rathre lakkudu uppuve
She has invited me to attend her wedding.	yenk aalna madime gu lethal
The air conditioner makes too much noise.	ac masthu shabdha manpundu
The baby has been crying for a long time.	bale masthu porthu bulthondu ithund 
The box was so heavy I could not move it.	pettige masthu dhunna ithnd ,yenk aven derpere ayiji
The girl who works at the bakery is cute.	bakery du bele manpunal masthu shoku ullal
The museum is open from Monday to Friday.	somavaraddh shukravara muta museum jathadi uppundh
The old lady smiled at her granddaughter.	para ponjov alen mommagalen tudh telthal
The situation calls for drastic measures.	paristhithi kasthada kramanu bayasundu
The teacher said, "That's all for today."	sikshaka panyer,iniku ithe
These pictures are really very beautiful.	undh chitra masthu porlu undu
They live in a little village in England.	akulu england du yelliya grama du badukunu
We should do away with the death penalty.	nama marana sikshe nu padodh
What are you going to do with this money?	ee kass panthondhe dada manpa?
Will you take us for a drive next Sunday?	yennan gadi du pathondh popana barpin ayithra?
Would you please explain the rules to me?	dhayamanthudh yenk niayma nu vibarane manpara?
You are too ready to speak ill of others.	ee yepala bethaklena bage ketha vishaya paterg thayar adh uppuva
You cannot eat your cake and have it too.	nik ninna cake nu thingreg apuji
You should take care of your sick mother.	ee ninna ushar ijjanda amman tuvondu
Africa was once called the Dark Continent.	ora africa nu dark kanda pandu letthond ither
Believe it or not, she has three children.	nambuvana ijja,aleg muji jokulu uller
Cancer can be cured if discovered in time.	cancer nu sari manpoli,bega gothanda
Could you send someone up to make the bed?	yeranda mith kadapavoliya hasige nu sari manpere?
He is always here between 5 and 6 o'clock.	aye yepala mulu aini boka aaji gante dulai uppuve
He is brave enough to go there by himself.	ayeg athu gothund oriye avlu muta poyere
He is coming to see me tomorrow afternoon.	aye yelle madyana yennan tuyere barpe
He was caught in the act of pickpocketing.	aye kass kandunaga thikad buriye
He went outside for a breath of fresh air.	aye yedde swasa dethondreg pidai poye
Health is the most precious thing we have.	arogya nammada uppuna amulya vasth
I can't put up with that noise any longer.	yenk a shabdha nana kendreg apuji
I can't put up with that noise any longer.	yenk a shabdha nana kendreg apuji
I couldn't make out what he wanted to say.	yenk gothayiji aye dada pandreg barondu ulle pandu
I don't know how to operate this computer.	yenk gotiji undu computer nu yencha upayoga manpunu andh
